time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-13 00:00:00+00:00,22,9,0,0
2026-04-14 00:00:00+00:00,17,5,0,0
2026-04-15 00:00:00+00:00,15,5,0,0
2026-04-16 00:00:00+00:00,26,7,0,0
2026-04-17 00:00:00+00:00,29,8,1,1
2026-04-18 00:00:00+00:00,29,9,0,0
2026-04-19 00:00:00+00:00,25,9,1,1
2026-04-20 00:00:00+00:00,43,20,0,0
2026-04-21 00:00:00+00:00,68,29,0,0
2026-04-22 00:00:00+00:00,81,27,0,0
2026-04-23 00:00:00+00:00,91,27,0,0
2026-04-24 00:00:00+00:00,91,29,1,1
2026-04-25 00:00:00+00:00,85,31,0,0
2026-04-26 00:00:00+00:00,37,10,0,0
